month,event_count
2020-01,1
2020-02,14
2020-03,19
2020-04,1
2020-05,8
2020-06,5
2020-07,9
2020-08,7
2020-09,4
2020-10,6
2020-11,2
2020-12,6
2021-01,9
2021-02,21
2021-03,19
2021-04,24
2021-05,27
2021-06,23
2021-07,17
2021-08,27
2021-09,14
2021-10,14
2021-11,28
2021-12,15
2022-01,28
2022-02,22
2022-03,23
2022-04,29
2022-05,36
2022-06,29
2022-07,28
2022-08,34
2022-09,23
2022-10,30
2022-11,23
2022-12,35
2023-01,22
2023-02,35
2023-03,18
2023-04,29
2023-05,30
2023-06,16
2023-07,22
2023-08,41
2023-09,22
2023-10,22
2023-11,10
2023-12,27
2024-01,61
2024-02,124
2024-03,38
2024-04,56
2024-05,55
2024-06,53
2024-07,43
2024-08,87
2024-09,50
2024-10,55
2024-11,71
2024-12,58
